; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-29 18:46:10
; Channels (2/16)
; ChannelsType: 3
; Sample rate: 5 MHz
; Sample count: 58.151489 M
; Sampling time: 2026-05-29 18:45:18.096
SystemTime, Time(s), Channel 0, Channel 1
'2026-05-29 18:45:19.583415000,1.487415000,1,1
'2026-05-29 18:45:19.583423600,1.487423600,1,0
'2026-05-29 18:45:19.583441000,1.487441000,1,1
'2026-05-29 18:45:19.583449800,1.487449800,1,0
'2026-05-29 18:45:19.583501800,1.487501800,1,1
'2026-05-29 18:45:19.583510600,1.487510600,1,0
'2026-05-29 18:45:19.583588800,1.487588800,1,1
'2026-05-29 18:45:19.583597400,1.487597400,1,0
'2026-05-29 18:45:19.583632200,1.487632200,1,1
'2026-05-29 18:45:19.583640800,1.487640800,1,0
'2026-05-29 18:45:19.583675600,1.487675600,1,1
'2026-05-29 18:45:19.583684400,1.487684400,1,0
'2026-05-29 18:45:19.583710400,1.487710400,1,1
'2026-05-29 18:45:19.583745200,1.487745200,1,0
'2026-05-29 18:45:19.583762400,1.487762400,1,1
'2026-05-29 18:45:19.583771200,1.487771200,1,0
'2026-05-29 18:45:19.583849400,1.487849400,1,1
'2026-05-29 18:45:19.583858000,1.487858000,1,0
'2026-05-29 18:45:19.583936200,1.487936200,1,1
'2026-05-29 18:45:19.583945000,1.487945000,1,0
'2026-05-29 18:45:19.583953600,1.487953600,1,1
'2026-05-29 18:45:19.583971000,1.487971000,1,0
'2026-05-29 18:45:19.584023000,1.488023000,1,1
'2026-05-29 18:45:19.584031800,1.488031800,1,0
'2026-05-29 18:45:19.584110000,1.488110000,1,1
'2026-05-29 18:45:19.584118600,1.488118600,1,0
'2026-05-29 18:45:19.584196800,1.488196800,1,1
'2026-05-29 18:45:19.584205600,1.488205600,1,0
'2026-05-29 18:45:19.584283800,1.488283800,1,1
'2026-05-29 18:45:19.584292400,1.488292400,1,0
'2026-05-29 18:45:19.584309800,1.488309800,1,1
'2026-05-29 18:45:19.584353200,1.488353200,1,0
'2026-05-29 18:45:19.584362000,1.488362000,1,1
'2026-05-29 18:45:19.584379400,1.488379400,1,0
'2026-05-29 18:45:19.584388000,1.488388000,1,1
'2026-05-29 18:45:19.584414000,1.488414000,1,0
'2026-05-29 18:45:19.584422800,1.488422800,1,1
'2026-05-29 18:45:19.584431400,1.488431400,1,0
'2026-05-29 18:45:19.584457400,1.488457400,1,1
'2026-05-29 18:45:19.584466200,1.488466200,1,0
'2026-05-29 18:45:19.584544400,1.488544400,1,1
